complex_id,stop_name,georeference,borough,num_art_pieces
293,"Van Cortlandt Park-242 St","POINT (-73.898583 40.889248)",Bx,0
186,"Van Siclen Av","POINT (-73.890358 40.67271)",Bk,0
464,"Vernon Blvd-Jackson Av","POINT (-73.953581 40.742626)",Q,0
167,"W 4 St-Wash Sq","POINT (-74.000495 40.732338)",M,0
57,"W 8 St-NY Aquarium","POINT (-73.975939 40.576127)",Bk,0
413,"Wall St","POINT (-74.011862 40.707557)",M,0
130,"Wilson Av","POINT (-73.904046 40.688764)",Bk,0
355,"Winthrop St","POINT (-73.9502 40.656652)",Bk,0
378,Woodlawn,"POINT (-73.878751 40.886037)",Bx,0
235,"York St","POINT (-73.986751 40.701397)",Bk,0
