complex_id,stop_name,georeference,borough,num_art_pieces
251,"Avenue U","POINT (-73.973357 40.596063)",Bk,1
252,"Avenue X","POINT (-73.97425 40.58962)",Bk,1
76,"Bay Pkwy","POINT (-73.981848 40.611815)",Bk,1
68,"Bay Pkwy","POINT (-73.993728 40.601875)",Bk,1
247,"Bay Pkwy","POINT (-73.975264 40.620769)",Bk,1
36,"Bay Ridge Av","POINT (-74.023377 40.634967)",Bk,1
208,"Beach 25 St","POINT (-73.761353 40.600066)",Q,1
207,"Beach 36 St","POINT (-73.768175 40.595398)",Q,1
206,"Beach 44 St","POINT (-73.776013 40.592943)",Q,1
205,"Beach 60 St","POINT (-73.788522 40.592374)",Q,1
204,"Beach 67 St","POINT (-73.796924 40.590927)",Q,1
201,"Beach 98 St","POINT (-73.820558 40.585307)",Q,1
120,"Bedford Av","POINT (-73.956872 40.717304)",Bk,1
380,"Bedford Park Blvd-Lehman College","POINT (-73.890064 40.873412)",Bx,1
45,"Beverley Rd","POINT (-73.964492 40.644031)",Bk,1
619,"Bleecker St","POINT (-73.994659 40.725915)",M,1
55,"Brighton Beach","POINT (-73.961376 40.577621)",Bk,1
4,Broadway,"POINT (-73.925508 40.76182)",Q,1
361,"Buhre Av","POINT (-73.832569 40.84681)",Bx,1
422,"Burke Av","POINT (-73.867164 40.871356)",Bx,1
384,"Burnside Av","POINT (-73.907684 40.853453)",Bx,1
169,"Canal St","POINT (-74.005229 40.720824)",M,1
365,"Castle Hill Av","POINT (-73.851222 40.834255)",Bx,1
155,"Cathedral Pkwy (110 St)","POINT (-73.958161 40.800603)",M,1
114,"Central Av","POINT (-73.927397 40.697857)",Bk,1
441,"Central Park North (110 St)","POINT (-73.951822 40.799075)",M,1
624,"Chambers St","POINT (-74.008585 40.714111)",M,1
93,"Chauncey St","POINT (-73.910456 40.682893)",Bk,1
356,"Church Av","POINT (-73.949575 40.650843)",Bk,1
334,"Clark St","POINT (-73.993086 40.697466)",Bk,1
89,"Cleveland St","POINT (-73.884639 40.679947)",Bk,1
58,"Coney Island-Stillwell Av","POINT (-73.981233 40.577422)",Bk,1
46,"Cortelyou Rd","POINT (-73.963891 40.640927)",Bk,1
87,"Crescent St","POINT (-73.873785 40.683194)",Bk,1
345,"Crown Hts-Utica Av","POINT (-73.932942 40.668897)",Bk,1
86,"Cypress Hills","POINT (-73.87255 40.689941)",Bk,1
26,"DeKalb Av","POINT (-73.981824 40.690635)",Bk,1
244,"Ditmas Av","POINT (-73.978172 40.636119)",Bk,1
299,"Dyckman St","POINT (-73.925536 40.860531)",M,1
373,"E 149 St","POINT (-73.904098 40.812118)",Bx,1
426,"E 180 St","POINT (-73.873488 40.841894)",Bx,1
341,"Eastern Pkwy-Brooklyn Museum","POINT (-73.964375 40.671987)",Bk,1
369,"Elder Av","POINT (-73.879159 40.828584)",Bx,1
209,"Far Rockaway-Mott Av","POINT (-73.755405 40.603995)",Q,1
359,"Flatbush Av-Brooklyn College","POINT (-73.947642 40.632836)",Bk,1
98,"Flushing Av","POINT (-73.941126 40.70026)",Bk,1
447,"Flushing-Main St","POINT (-73.83003 40.7596)",Q,1
382,"Fordham Rd","POINT (-73.901034 40.862803)",Bx,1
110,"Forest Av","POINT (-73.903077 40.704423)",Q,1
72,"Fort Hamilton Pkwy","POINT (-74.005351 40.631386)",Bk,1
60,"Fort Hamilton Pkwy","POINT (-73.994304 40.640914)",Bk,1
429,"Freeman St","POINT (-73.891865 40.829993)",Bx,1
109,"Fresh Pond Rd","POINT (-73.895877 40.706186)",Q,1
95,"Gates Av","POINT (-73.92227 40.68963)",Bk,1
340,"Grand Army Plaza","POINT (-73.971046 40.675235)",Bk,1
123,"Grand St","POINT (-73.94067 40.711926)",Bk,1
444,"Gun Hill Rd","POINT (-73.846384 40.869526)",Bx,1
421,"Gun Hill Rd","POINT (-73.866256 40.87785)",Bx,1
94,"Halsey St","POINT (-73.916559 40.68637)",Bk,1
100,"Hewes St","POINT (-73.953431 40.70687)",Bk,1
324,"Houston St","POINT (-74.005367 40.728251)",M,1
463,"Hunters Point Av","POINT (-73.948916 40.742216)",Q,1
431,"Intervale Av","POINT (-73.896736 40.822181)",Bx,1
143,"Inwood-207 St","POINT (-73.919899 40.868072)",M,1
636,"Jay St-MetroTech","POINT (-73.987342 40.692338)",Bk,1
349,"Junius St","POINT (-73.902447 40.663515)",Bk,1
250,"Kings Hwy","POINT (-73.972361 40.603217)",Bk,1
51,"Kings Hwy","POINT (-73.957734 40.60867)",Bk,1
381,"Kingsbridge Rd","POINT (-73.897174 40.86776)",Bx,1
113,"Knickerbocker Av","POINT (-73.919711 40.698664)",Bk,1
96,"Kosciuszko St","POINT (-73.928814 40.693342)",Bk,1
135,"Livonia Av","POINT (-73.900571 40.664038)",Bk,1
99,"Lorimer St","POINT (-73.947408 40.703869)",Bk,1
101,"Marcy Av","POINT (-73.957757 40.708359)",Bk,1
629,"Metropolitan Av","POINT (-73.951418 40.712792)",Bk,1
362,"Middletown Rd","POINT (-73.836322 40.843863)",Bx,1
368,"Morrison Av-Soundview","POINT (-73.874516 40.829521)",Bx,1
379,"Mosholu Pkwy","POINT (-73.884655 40.87975)",Bx,1
386,"Mt Eden Av","POINT (-73.914685 40.844434)",Bx,1
97,"Myrtle Av","POINT (-73.935657 40.697207)",Bk,1
53,"Neck Rd","POINT (-73.955161 40.595246)",Bk,1
253,"Neptune Av","POINT (-73.974574 40.581011)",Bk,1
417,"Nereid Av","POINT (-73.854376 40.898379)",Bx,1
337,"Nevins St","POINT (-73.980492 40.688246)",Bk,1
136,"New Lots Av","POINT (-73.899232 40.658733)",Bk,1
88,"Norwood Av","POINT (-73.880039 40.68141)",Bk,1
56,"Ocean Pkwy","POINT (-73.968501 40.576312)",Bk,1
141,"Park Pl","POINT (-73.957624 40.674772)",Bk,1
366,Parkchester,"POINT (-73.860816 40.833226)",Bx,1
43,"Parkside Av","POINT (-73.961495 40.655292)",Bk,1
445,"Pelham Pkwy","POINT (-73.855359 40.858985)",Bx,1
424,"Pelham Pkwy","POINT (-73.867615 40.857192)",Bx,1
350,"Pennsylvania Av","POINT (-73.894895 40.664635)",Bk,1
17,"Prince St","POINT (-73.997702 40.724329)",M,1
30,"Prospect Av","POINT (-73.992872 40.665414)",Bk,1
42,"Prospect Park","POINT (-73.962246 40.661614)",Bk,1
