complex_id,station_complex,borough,complex_latitude,complex_longitude,ridership,num_art_pieces
113,"Knickerbocker Av (M)",Brooklyn,40.698664,-73.919711,652581,1
266,"Elmhurst Av (M,R)",Queens,40.742454,-73.882017,2057516,0
452,"90 St-Elmhurst Av (7)",Queens,40.748408,-73.876613,3339240,0
257,"Sutphin Blvd (F)",Queens,40.70546,-73.810708,700073,0
613,"Lexington Av (N,R,W)/59 St (4,5,6)",Manhattan,40.762592999999995,-73.9676125,8618284,1
217,"170 St (B,D)",Bronx,40.839306,-73.9134,707765,0
159,"81 St-Museum of Natural History (C,B)",Manhattan,40.781433,-73.972143,2571732,1
111,"Seneca Av (M)",Queens,40.702762,-73.90774,479220,1
348,"Rockaway Av (3)",Brooklyn,40.662549,-73.908946,644420,1
623,"Canal St (J,N,Q,R,W,Z,6)",Manhattan,40.71870125,-74.00057999999999,7850499,1
10,"49 St (N,R,W)",Manhattan,40.759901,-73.984139,4549642,0
187,"Shepherd Av (C)",Brooklyn,40.67413,-73.88075,395913,0
91,"Alabama Av (J)",Brooklyn,40.676992,-73.898654,278369,1
306,"125 St (1)",Manhattan,40.815581,-73.958372,1406713,1
153,"125 St (A,C,B,D)",Manhattan,40.811109,-73.952343,4289716,0
203,"Rockaway Park-Beach 116 St (A,S)",Queens,40.580903,-73.835592,129041,1
85,"75 St-Elderts Ln (J,Z)",Queens,40.691324,-73.867139,246100,0
360,"Pelham Bay Park (6)",Bronx,40.852462,-73.828121,881070,0
460,"33 St-Rawson St (7)",Queens,40.744587,-73.930997,1195919,0
55,"Brighton Beach (B,Q)",Brooklyn,40.577621,-73.961376,1855390,1
252,"Avenue X (F)",Brooklyn,40.58962,-73.97425,355128,1
371,"Hunts Point Av (6)",Bronx,40.820948,-73.890549,1391830,0
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",Manhattan,40.732338,-74.000495,7597954,0
403,"33 St (6)",Manhattan,40.746081,-73.982076,4401252,1
83,"Woodhaven Blvd (J,Z)",Queens,40.693879,-73.851576,296692,1
343,"Nostrand Av (3)",Brooklyn,40.669847,-73.950466,585322,0
433,"Jackson Av (2,5)",Bronx,40.81649,-73.907807,641728,1
133,"Atlantic Av (L)",Brooklyn,40.675345,-73.903097,277478,0
336,"Hoyt St (2,3)",Brooklyn,40.690545,-73.985065,1412842,0
175,"Hoyt-Schermerhorn Sts (A,C,G)",Brooklyn,40.688484,-73.985001,2074434,0
404,"28 St (6)",Manhattan,40.74307,-73.984264,3272934,1
292,"Fulton St (G)",Brooklyn,40.687119,-73.975375,992569,0
420,"219 St (2,5)",Bronx,40.883895,-73.862633,307065,1
45,"Beverley Rd (Q)",Brooklyn,40.644031,-73.964492,598479,1
131,"Bushwick Av-Aberdeen St (L)",Brooklyn,40.682829,-73.905249,425023,0
70,"Bay 50 St (D)",Brooklyn,40.588841,-73.983765,413348,0
22,"Rector St (R,W)",Manhattan,40.70722,-74.013342,873880,0
57,"W 8 St-NY Aquarium (F,Q)",Brooklyn,40.576127,-73.975939,471359,1
323,"Christopher St-Sheridan Sq (1)",Manhattan,40.733422,-74.002906,2083188,0
13,"28 St (R,W)",Manhattan,40.745494,-73.988691,2134394,1
68,"Bay Pkwy (D)",Brooklyn,40.601875,-73.993728,1234681,1
299,"Dyckman St (1)",Manhattan,40.860531,-73.925536,1025427,1
43,"Parkside Av (Q)",Brooklyn,40.655292,-73.961495,996072,1
58,"Coney Island-Stillwell Av (D,F,N,Q)",Brooklyn,40.577422,-73.981233,2625757,1
625,"Delancey St (F)/Essex St (J,M,Z)",Manhattan,40.718463,-73.9877755,5046694,0
6,"39 Av-Dutch Kills (N,W)",Queens,40.752882,-73.932755,637882,1
207,"Beach 36 St (A)",Queens,40.595398,-73.768175,120827,1
609,"Bryant Pk (B,D,F,M)/5 Av (7)",Manhattan,40.7540215,-73.98326599999999,8175083,0
324,"Houston St (1)",Manhattan,40.728251,-74.005367,2159661,1
97,"Myrtle Av (M,J,Z)",Brooklyn,40.697207,-73.935657,2036546,1
476,"86 St (Q)",Manhattan,40.777891,-73.951787,4039091,1
107,"Broad St (J,Z)",Manhattan,40.706476,-74.011056,958724,0
397,"86 St (4,5,6)",Manhattan,40.779492,-73.955589,7974573,1
62,"55 St (D)",Brooklyn,40.631435,-73.995476,301603,0
345,"Crown Hts-Utica Av (3,4)",Brooklyn,40.668897,-73.932942,3818450,1
120,"Bedford Av (L)",Brooklyn,40.717304,-73.956872,6251825,1
358,"Newkirk Av-Little Haiti (2,5)",Brooklyn,40.639967,-73.948411,1043396,0
245,"18 Av (F)",Brooklyn,40.629755,-73.976971,520684,1
293,"Van Cortlandt Park-242 St (1)",Bronx,40.889248,-73.898583,1044593,0
35,"59 St (N,R)",Brooklyn,40.641362,-74.017881,2080305,0
294,"238 St (1)",Bronx,40.884667,-73.90087,664044,0
250,"Kings Hwy (F)",Brooklyn,40.603217,-73.972361,559628,1
240,"7 Av (F,G)",Brooklyn,40.666271,-73.980305,2012984,0
243,"Church Av (F,G)",Brooklyn,40.644041,-73.979678,1553718,0
33,"45 St (R)",Brooklyn,40.648939,-74.010006,1261159,0
629,"Lorimer St (L)/Metropolitan Av (G)",Brooklyn,40.7134275,-73.95084650000001,2916930,1
222,"Roosevelt Island (F)",Manhattan,40.759145,-73.95326,1265234,1
381,"Kingsbridge Rd (4)",Bronx,40.86776,-73.897174,1200336,1
419,"225 St (2,5)",Bronx,40.888022,-73.860341,390542,1
124,"Montrose Av (L)",Brooklyn,40.707739,-73.93985,1240710,0
232,"2 Av (F)",Manhattan,40.723402,-73.989938,2993796,0
279,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",Queens,40.700486,-73.807969,4686259,0
309,"103 St (1)",Manhattan,40.799446,-73.968379,1972999,0
362,"Middletown Rd (6)",Bronx,40.843863,-73.836322,304053,1
367,"St Lawrence Av (6)",Bronx,40.831509,-73.867618,522045,1
64,"71 St (D)",Brooklyn,40.619589,-73.998864,795310,1
429,"Freeman St (2,5)",Bronx,40.829993,-73.891865,570579,1
357,"Beverly Rd (2,5)",Brooklyn,40.645098,-73.948959,693901,0
418,"233 St (2,5)",Bronx,40.893193,-73.857473,524078,1
601,"14 St (F,M,1,2,3)/6 Av (L)",Manhattan,40.73779633333333,-73.997732,7462065,0
301,"181 St (1)",Manhattan,40.849505,-73.933596,1556836,1
385,"176 St (4)",Bronx,40.84848,-73.911794,751386,1
173,"High St (A,C)",Brooklyn,40.699337,-73.990531,1581452,0
52,"Avenue U (Q)",Brooklyn,40.5993,-73.955929,1121912,1
369,"Elder Av (6)",Bronx,40.828584,-73.879159,801668,1
375,"Cypress Av (6)",Bronx,40.805368,-73.914042,433909,0
373,"E 149 St (6)",Bronx,40.812118,-73.904098,673982,1
393,"116 St (6)",Manhattan,40.798629,-73.941617,1981034,1
603,"149 St-Grand Concourse (2,4,5)",Bronx,40.8183925,-73.92703449999999,1474406,0
81,"111 St (J)",Queens,40.697418,-73.836345,336742,1
271,"Steinway St (M,R)",Queens,40.756879,-73.92074,2088747,0
31,"25 St (R)",Brooklyn,40.660397,-73.998091,599388,0
141,"Park Pl (S)",Brooklyn,40.674772,-73.957624,259734,1
370,"Whitlock Av (6)",Bronx,40.826525,-73.886283,259007,1
607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",Manhattan,40.749643,-73.9878865,17629749,4
14,"23 St (R,W)",Manhattan,40.741303,-73.989344,3252462,1
268,"65 St (M,R)",Queens,40.749669,-73.898453,558077,0
450,"103 St-Corona Plaza (7)",Queens,40.749865,-73.8627,4577783,0
79,"86 St (N)",Brooklyn,40.592721,-73.97823,418980,1
76,"Bay Pkwy (N)",Brooklyn,40.611815,-73.981848,1141686,1
48,"Avenue H (Q)",Brooklyn,40.62927,-73.961639,471914,1
289,"Bedford-Nostrand Avs (G)",Brooklyn,40.689627,-73.953522,1444924,0
100,"Hewes St (M,J)",Brooklyn,40.70687,-73.953431,483744,1
417,"Nereid Av (2,5)",Bronx,40.898379,-73.854376,373687,1
364,"Zerega Av (6)",Bronx,40.836488,-73.847036,352868,1
93,"Chauncey St (J,Z)",Brooklyn,40.682893,-73.910456,429442,1
242,"Fort Hamilton Pkwy (F,G)",Brooklyn,40.650782,-73.975776,975961,0
201,"Beach 98 St (A,S)",Queens,40.585307,-73.820558,80547,1
86,"Cypress Hills (J)",Brooklyn,40.689941,-73.87255,232499,1
628,"Fulton St (A,C,J,Z,2,3,4,5)",Manhattan,40.71008875,-74.00783824999999,13747154,2
438,"135 St (2,3)",Manhattan,40.814229,-73.94077,1557674,1
377,"3 Av-138 St (6)",Bronx,40.810476,-73.926138,1178938,0
5,"36 Av (N,W)",Queens,40.756804,-73.929575,1083531,1
611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",Manhattan,40.755746,-73.9875808,32592536,9
372,"Longwood Av (6)",Bronx,40.816104,-73.896435,485006,0
365,"Castle Hill Av (6)",Bronx,40.834255,-73.851222,792995,1
164,"34 St-Penn Station (A,C,E)",Manhattan,40.752287,-73.993391,13203699,1
399,"68 St-Hunter College (6)",Manhattan,40.768141,-73.96387,3785434,0
60,"Fort Hamilton Pkwy (D)",Brooklyn,40.640914,-73.994304,640290,1
308,"Cathedral Pkwy (110 St) (1)",Manhattan,40.803967,-73.966847,2034629,0
329,"Rector St (1)",Manhattan,40.707513,-74.013783,1174592,0
183,"Rockaway Av (C)",Brooklyn,40.67834,-73.911946,843246,0
398,"77 St (6)",Manhattan,40.77362,-73.959874,4616020,1
269,"Northern Blvd (M,R)",Queens,40.752885,-73.906006,1043250,0
255,"169 St (F)",Queens,40.71047,-73.793604,1251624,0
265,"Grand Av-Newtown (M,R)",Queens,40.737015,-73.877223,2866979,0
150,"155 St (C)",Manhattan,40.830518,-73.941514,415750,0
333,"Wall St (2,3)",Manhattan,40.706821,-74.0091,2958098,1
220,"155 St (B,D)",Manhattan,40.830135,-73.938209,393060,0
353,"President St-Medgar Evers College (2,5)",Brooklyn,40.667883,-73.950683,541083,0
394,"110 St (6)",Manhattan,40.79502,-73.94425,1394371,1
84,"85 St-Forest Pkwy (J)",Queens,40.692435,-73.86001,606285,0
114,"Central Av (M)",Brooklyn,40.697857,-73.927397,631903,1
310,"96 St (1,2,3)",Manhattan,40.793919,-73.972323,5886600,1
340,"Grand Army Plaza (2,3)",Brooklyn,40.675235,-73.971046,1256838,1
225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",Manhattan,40.758663,-73.981329,8519201,0
196,"Aqueduct Racetrack (A)",Queens,40.672369,-73.835254,133786,0
16,"8 St-NYU (R,W)",Manhattan,40.730328,-73.992629,2891916,1
263,"63 Dr-Rego Park (M,R)",Queens,40.729846,-73.861604,2172096,0
316,"50 St (1)",Manhattan,40.761728,-73.983849,3599311,1
282,"21 St (G)",Queens,40.744065,-73.949724,282882,0
179,"Nostrand Av (A,C)",Brooklyn,40.680438,-73.950426,2856030,0
238,"Smith-9 Sts (F,G)",Brooklyn,40.67358,-73.995959,702636,0
405,"23 St (6)",Manhattan,40.739864,-73.986599,3880079,1
616,"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",Queens,40.746746,-73.891366,10976924,0
129,"Halsey St (L)",Queens,40.695602,-73.904084,1213317,0
445,"Pelham Pkwy (5)",Bronx,40.858985,-73.855359,411480,1
291,"Clinton-Washington Avs (G)",Brooklyn,40.688089,-73.966839,807448,0
191,"88 St (A)",Queens,40.679843,-73.85147,421862,1
602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",Manhattan,40.735066,-73.99041633333333,16122928,1
287,"Flushing Av (G)",Brooklyn,40.700377,-73.950234,428175,0
606,"Court Sq (E,G,M,7)",Queens,40.747141000000006,-73.94503200000001,4402638,2
71,"8 Av (N)",Brooklyn,40.635064,-74.011719,1864947,1
446,"Morris Park (5)",Bronx,40.854364,-73.860495,376569,0
82,"104 St (J,Z)",Queens,40.695178,-73.84433,437690,1
54,"Sheepshead Bay (B,Q)",Brooklyn,40.586896,-73.954155,2065149,1
475,"96 St (Q)",Manhattan,40.784318,-73.947152,2869614,1
325,"Canal St (1)",Manhattan,40.722854,-74.006277,850333,0
617,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",Brooklyn,40.68416166666667,-73.97778866666665,7275214,1
95,"Gates Av (J,Z)",Brooklyn,40.68963,-73.92227,1045005,1
231,"Grand St (B,D)",Manhattan,40.718267,-73.993753,4268259,0
26,"DeKalb Av (B,Q,R)",Brooklyn,40.690635,-73.981824,3553519,2
237,"Carroll St (F,G)",Brooklyn,40.680303,-73.995048,1956987,0
51,"Kings Hwy (B,Q)",Brooklyn,40.60867,-73.957734,3113155,1
618,"14 St (A,C,E)/8 Av (L)",Manhattan,40.740335,-74.002134,8417440,0
38,"86 St (R)",Brooklyn,40.622687,-74.028398,1848136,1
216,"174-175 Sts (B,D)",Bronx,40.8459,-73.910136,564332,1
169,"Canal St (A,C,E)",Manhattan,40.720824,-74.005229,3024318,1
355,"Winthrop St (2,5)",Brooklyn,40.656652,-73.9502,1193892,0
359,"Flatbush Av-Brooklyn College (2,5)",Brooklyn,40.632836,-73.947642,2726447,1
463,"Hunters Point Av (7)",Queens,40.742216,-73.948916,758240,1
65,"79 St (D)",Brooklyn,40.613501,-74.00061,1018314,1
622,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",Manhattan,40.713154,-74.003766,4274051,0
41,"7 Av (B,Q)",Brooklyn,40.67705,-73.972367,1584585,0
624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",Manhattan,40.712603,-74.0095515,9484342,1
620,"Court St (R)/Borough Hall (2,3,4,5)",Brooklyn,40.693241,-73.990642,4632189,0
158,"86 St (C,B)",Manhattan,40.785868,-73.968916,1940851,1
228,"23 St (F,M)",Manhattan,40.742878,-73.992821,4135846,1
206,"Beach 44 St (A)",Queens,40.592943,-73.776013,110996,1
413,"Wall St (4,5)",Manhattan,40.707557,-74.011862,2599059,0
627,"Franklin Av (C,S)",Brooklyn,40.680988,-73.95633749999999,947843,1
244,"Ditmas Av (F)",Brooklyn,40.636119,-73.978172,601929,1
290,"Classon Av (G)",Brooklyn,40.688873,-73.96007,846256,0
66,"18 Av (D)",Brooklyn,40.607954,-74.001736,995409,1
501,"St George (SIR)","Staten Island",40.643748,-74.073643,1448045,0
28,"Union St (R)",Brooklyn,40.677316,-73.98311,1293702,1
146,"181 St (A)",Manhattan,40.851695,-73.937969,1478492,0
272,"36 St (M,R)",Queens,40.752039,-73.928781,567911,1
